exp_name,hardware_profile,model,dataset_size,train_size,test_size,val_size,feature_num,complexity,hyperparameters,seed,data_time_span,train_time,peak_ram,avg_ram,model_size,effective_epochs,rmse,mae,inference_time,inference_batch_size,resource_efficiency
linear_ds1000_s42_none_na_001,"{""cpu"": ""arm"", ""ram_gb"": 16.0, ""gpu"": false}",linear,1000,800,200,0,6,low,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",42,"['2011-01-02 00:15:00', '2011-01-12 10:00:00']",0.003915,314.5427,314.451,0.00050163,1,50.7479,32.0395,0.0001,200,5176.410087
linear_ds1000_s42_L2_a0.01_002,"{""cpu"": ""arm"", ""ram_gb"": 16.0, ""gpu"": false}",linear,1000,800,200,0,6,low,"{'alpha': 0.01, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",42,"['2011-01-02 00:15:00', '2011-01-12 10:00:00']",0.002229,331.6793,331.6365,0.00045872,1,50.7474,32.0401,0.0001,200,4990.551871
linear_ds1000_s42_L2_a1.0_003,"{""cpu"": ""arm"", ""ram_gb"": 16.0, ""gpu"": false}",linear,1000,800,200,0,6,low,"{'alpha': 1.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",42,"['2011-01-02 00:15:00', '2011-01-12 10:00:00']",0.000637,346.3118,346.2731,0.000453,1,50.6991,32.1081,0.0,200,4876.384397
linear_ds1000_s42_L2_a10.0_004,"{""cpu"": ""arm"", ""ram_gb"": 16.0, ""gpu"": false}",linear,1000,800,200,0,6,low,"{'alpha': 10.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",42,"['2011-01-02 00:15:00', '2011-01-12 10:00:00']",0.000714,360.9212,360.8825,0.00045204,1,50.5864,32.9774,0.0,200,4686.123963
linear_ds1000_s123_none_na_005,"{""cpu"": ""arm"", ""ram_gb"": 16.0, ""gpu"": false}",linear,1000,800,200,0,6,low,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",123,"['2011-01-02 00:15:00', '2011-01-12 10:00:00']",0.001074,376.7714,376.6982,0.00050163,1,50.7479,32.0395,0.0,200,4507.428977
linear_ds1000_s123_L2_a0.01_006,"{""cpu"": ""arm"", ""ram_gb"": 16.0, ""gpu"": false}",linear,1000,800,200,0,6,low,"{'alpha': 0.01, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",123,"['2011-01-02 00:15:00', '2011-01-12 10:00:00']",0.000687,390.6399,390.6012,0.00045872,1,50.7474,32.0401,0.0,200,4382.978612
linear_ds1000_s123_L2_a1.0_007,"{""cpu"": ""arm"", ""ram_gb"": 16.0, ""gpu"": false}",linear,1000,800,200,0,6,low,"{'alpha': 1.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",123,"['2011-01-02 00:15:00', '2011-01-12 10:00:00']",0.000727,406.2649,406.2262,0.000453,1,50.6991,32.1081,0.0,200,4233.434451
linear_ds1000_s123_L2_a10.0_008,"{""cpu"": ""arm"", ""ram_gb"": 16.0, ""gpu"": false}",linear,1000,800,200,0,6,low,"{'alpha': 10.0, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",123,"['2011-01-02 00:15:00', '2011-01-12 10:00:00']",0.000721,420.5149,420.4762,0.00045204,1,50.5864,32.9774,0.0,200,4106.248289
linear_ds1000_s999_none_na_009,"{""cpu"": ""arm"", ""ram_gb"": 16.0, ""gpu"": false}",linear,1000,800,200,0,6,low,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",999,"['2011-01-02 00:15:00', '2011-01-12 10:00:00']",0.001136,435.8652,435.792,0.00050163,1,50.7479,32.0395,0.0,200,3960.55991
linear_ds1000_s999_L2_a0.01_010,"{""cpu"": ""arm"", ""ram_gb"": 16.0, ""gpu"": false}",linear,1000,800,200,0,6,low,"{'alpha': 0.01, 'copy_X': True, 'fit_intercept': True, 'max_iter': None, 'positive': False, 'random_state': None, 'solver': 'auto', 'tol': 0.0001}",999,"['2011-01-02 00:15:00', '2011-01-12 10:00:00']",0.000751,451.8118,451.7731,0.00045872,1,50.7474,32.0401,0.0,200,3835.041358
